label,text
spam,Вітаємо! Ви виграли 50000 грн у святковій акції. Перейдіть за посиланням та заберіть свій приз просто зараз.
spam,"Терміново підтвердьте банківські реквізити для отримання виплати, інакше переказ буде скасовано через 30 хвилин."
spam,"Ваш обліковий запис буде заблоковано сьогодні. Щоб уникнути блокування, введіть пароль на сторінці підтвердження."
spam,Лише сьогодні суперзнижка 90 відсотків на популярні товари. Натисніть тут і оформіть замовлення негайно.
spam,Ви обрані переможцем розіграшу нового смартфона. Для отримання призу сплатіть лише невелику комісію.
spam,"Термінове повідомлення від служби безпеки: підтвердьте дані картки, щоб уникнути призупинення доступу."
spam,Отримайте швидкий кредит без перевірок та довідок. Гроші на картку за 5 хвилин після переходу за посиланням.
spam,Ваш номер став щасливим у міжнародній лотереї. Надішліть персональні дані для нарахування виграшу.
spam,Унікальна інвестиційна можливість з доходом 15 відсотків щодня. Зареєструйтеся негайно та заробляйте легко.
spam,Підтвердьте електронну адресу для отримання подарункового сертифіката на 1000 гривень вже сьогодні.
spam,Останній шанс отримати бонус за реєстрацію. Перейдіть за посиланням і заберіть винагороду протягом години.
spam,Ми виявили підозрілу активність у вашому кабінеті. Для збереження доступу терміново оновіть пароль.
spam,Ваш пакет документів готовий до видачі. Для доставки сплатіть сервісний збір і підтвердьте адресу.
spam,Ви отримали ексклюзивну пропозицію заробітку з дому без досвіду та вкладень. Почніть уже зараз.
spam,Оформіть страхування за спеціальною ціною лише до кінця дня. Кількість пропозицій обмежена.
spam,"Ваша посилка затримана на митниці. Щоб завершити оформлення, оплатіть невеликий митний внесок онлайн."
spam,Переказ на ваше ім’я очікує підтвердження. Вкажіть номер картки та код безпеки для отримання коштів.
spam,"Вітаємо, ваш акаунт обрано для участі у програмі лояльності з миттєвою виплатою бонусів."
spam,Секретний спосіб схуднення без дієт і спорту. Замовляйте зараз та отримуйте другий курс безкоштовно.
spam,Заробляйте від 3000 гривень щодня без досвіду. Просто відкрийте вкладений файл і дотримуйтесь інструкцій.
spam,Ваш профіль у соціальній мережі порушив правила. Для уникнення видалення підтвердьте особу за посиланням.
spam,"Банківська служба безпеки просить негайно підтвердити транзакцію. Якщо це не ви, введіть код з SMS тут."
spam,Отримайте доступ до закритої торгової платформи та почніть заробляти вже сьогодні без ризику.
spam,Вітаємо! Вас вибрано для безкоштовного тестування преміального сервісу з гарантованим подарунком.
spam,"Ваш електронний гаманець тимчасово обмежено. Щоб відновити доступ, підтвердьте облікові дані зараз."
spam,"Поспішайте, лише 20 хвилин діє акція на дорогі бренди зі знижкою до 95 відсотків."
spam,"Ми намагалися доставити вам виграш, але адреса не підтверджена. Заповніть форму для повторної доставки."
spam,"Нове повідомлення від податкової служби: негайно сплатіть штраф, щоб уникнути блокування рахунків."
spam,Офіційне повідомлення: ваш обліковий запис пошти перевищив ліміт. Підтвердьте пароль для розширення сховища.
spam,Ви стали власником безкоштовної путівки на двох. Для бронювання сплатіть страховий внесок прямо зараз.
spam,Купуйте криптовалюту за інсайдерською стратегією та заробляйте стабільно без попереднього досвіду.
spam,"Ваша картка буде деактивована через підозрілий переказ. Натисніть тут, щоб підтвердити операцію."
spam,Шокуюча акція від наших партнерів: ноутбуки за 999 гривень лише для перших 50 клієнтів.
spam,Вітаємо з отриманням преміум-статусу. Перейдіть у кабінет та заберіть персональний грошовий бонус.
spam,Для отримання державної компенсації заповніть коротку форму та вкажіть реквізити банківської картки.
spam,"Ваш акаунт у хмарному сервісі буде видалено. Негайно авторизуйтеся повторно, щоб зберегти всі файли."
spam,"Отримайте миттєве схвалення позики без дзвінків, перевірок і документів. Подайте заявку просто зараз."
spam,"Відкрийте вкладення, щоб дізнатися суму вашої грошової винагороди за участь у промоакції."
spam,Ми помітили несанкціонований вхід. Для захисту коштів терміново підтвердьте дані платіжної картки.
spam,Тільки сьогодні безкоштовний доступ до приватного клубу інвесторів з гарантованим прибутком.
spam,Ви пройшли відбір на високооплачувану дистанційну роботу. Натисніть для активації особистого кабінету.
spam,"Ваш рахунок обрано для повернення податку. Щоб отримати кошти, підтвердьте особисті дані онлайн."
spam,Останнє нагадування: сплатіть адміністративний збір для видачі сертифіката переможця.
spam,Ми підготували для вас подарунок до свята. Для отримання просто перейдіть за посиланням і заповніть анкету.
spam,Ваш месенджер буде вимкнено за порушення політики. Підтвердьте номер телефону та пароль для відновлення.
spam,"Спеціальна пропозиція на ліки та добавки зі знижкою 80 відсотків. Замовте зараз, поки акція активна."
spam,Отримайте великий дохід від автоматичної торгівлі. Запуск системи займає всього 3 хвилини.
spam,"Офіційний лист: ваш платіж не пройшов. Щоб уникнути пені, терміново оновіть реквізити."
spam,"Ви виграли цінний приз у розіграші серед користувачів пошти. Заберіть його негайно, поки код активний."
spam,Тільки для вас доступна конфіденційна пропозиція заробітку на міжнародному ринку без ризиків.
spam,Наша система виявила помилку в доставці посилки. Для повторного оформлення сплатіть 39 гривень.
spam,"Підтвердіть електронну адресу та пароль, щоб уникнути остаточного блокування корпоративної пошти."
spam,Ваш акаунт банкінгу потребує повторної верифікації. Заповніть форму безпеки протягом 10 хвилин.
spam,Станьте учасником закритого розпродажу техніки та отримайте купон на додаткову знижку вже зараз.
spam,Ми намагаємося зв’язатися з вами щодо невиплаченого бонусу. Для отримання коштів натисніть тут.
spam,Вашу декларацію схвалено. Для зарахування відшкодування введіть номер картки та CVV-код.
spam,Вітаємо! Саме ви отримали право на пільговий кредит під 0 відсотків до кінця місяця.
spam,"Терміново оновіть пароль до поштової скриньки, інакше всі повідомлення будуть безповоротно видалені."
spam,Вкладення містить терміновий акт звірки. Відкрийте документ і підтвердьте реквізити для оплати.
spam,Ви отримали доступ до секретної системи пасивного доходу. Почніть без вкладень та ризику.
spam,"Вітаємо! Ви виграли 50000 грн у святковій акції. Перейдіть за посиланням та заберіть свій приз просто зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Терміново підтвердьте банківські реквізити для отримання виплати, інакше переказ буде скасовано через 30 хвилин. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш обліковий запис буде заблоковано сьогодні. Щоб уникнути блокування, введіть пароль на сторінці підтвердження. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Лише сьогодні суперзнижка 90 відсотків на популярні товари. Натисніть тут і оформіть замовлення негайно. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви обрані переможцем розіграшу нового смартфона. Для отримання призу сплатіть лише невелику комісію. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Термінове повідомлення від служби безпеки: підтвердьте дані картки, щоб уникнути призупинення доступу. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Отримайте швидкий кредит без перевірок та довідок. Гроші на картку за 5 хвилин після переходу за посиланням. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш номер став щасливим у міжнародній лотереї. Надішліть персональні дані для нарахування виграшу. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Унікальна інвестиційна можливість з доходом 15 відсотків щодня. Зареєструйтеся негайно та заробляйте легко. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Підтвердьте електронну адресу для отримання подарункового сертифіката на 1000 гривень вже сьогодні. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Останній шанс отримати бонус за реєстрацію. Перейдіть за посиланням і заберіть винагороду протягом години. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ми виявили підозрілу активність у вашому кабінеті. Для збереження доступу терміново оновіть пароль. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш пакет документів готовий до видачі. Для доставки сплатіть сервісний збір і підтвердьте адресу. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви отримали ексклюзивну пропозицію заробітку з дому без досвіду та вкладень. Почніть уже зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Оформіть страхування за спеціальною ціною лише до кінця дня. Кількість пропозицій обмежена. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваша посилка затримана на митниці. Щоб завершити оформлення, оплатіть невеликий митний внесок онлайн. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Переказ на ваше ім’я очікує підтвердження. Вкажіть номер картки та код безпеки для отримання коштів. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вітаємо, ваш акаунт обрано для участі у програмі лояльності з миттєвою виплатою бонусів. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Секретний спосіб схуднення без дієт і спорту. Замовляйте зараз та отримуйте другий курс безкоштовно. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Заробляйте від 3000 гривень щодня без досвіду. Просто відкрийте вкладений файл і дотримуйтесь інструкцій. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш профіль у соціальній мережі порушив правила. Для уникнення видалення підтвердьте особу за посиланням. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Банківська служба безпеки просить негайно підтвердити транзакцію. Якщо це не ви, введіть код з SMS тут. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Отримайте доступ до закритої торгової платформи та почніть заробляти вже сьогодні без ризику. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вітаємо! Вас вибрано для безкоштовного тестування преміального сервісу з гарантованим подарунком. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш електронний гаманець тимчасово обмежено. Щоб відновити доступ, підтвердьте облікові дані зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Поспішайте, лише 20 хвилин діє акція на дорогі бренди зі знижкою до 95 відсотків. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ми намагалися доставити вам виграш, але адреса не підтверджена. Заповніть форму для повторної доставки. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Нове повідомлення від податкової служби: негайно сплатіть штраф, щоб уникнути блокування рахунків. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Офіційне повідомлення: ваш обліковий запис пошти перевищив ліміт. Підтвердьте пароль для розширення сховища. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви стали власником безкоштовної путівки на двох. Для бронювання сплатіть страховий внесок прямо зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Купуйте криптовалюту за інсайдерською стратегією та заробляйте стабільно без попереднього досвіду. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваша картка буде деактивована через підозрілий переказ. Натисніть тут, щоб підтвердити операцію. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Шокуюча акція від наших партнерів: ноутбуки за 999 гривень лише для перших 50 клієнтів. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вітаємо з отриманням преміум-статусу. Перейдіть у кабінет та заберіть персональний грошовий бонус. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Для отримання державної компенсації заповніть коротку форму та вкажіть реквізити банківської картки. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш акаунт у хмарному сервісі буде видалено. Негайно авторизуйтеся повторно, щоб зберегти всі файли. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Отримайте миттєве схвалення позики без дзвінків, перевірок і документів. Подайте заявку просто зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Відкрийте вкладення, щоб дізнатися суму вашої грошової винагороди за участь у промоакції. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ми помітили несанкціонований вхід. Для захисту коштів терміново підтвердьте дані платіжної картки. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Тільки сьогодні безкоштовний доступ до приватного клубу інвесторів з гарантованим прибутком. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви пройшли відбір на високооплачувану дистанційну роботу. Натисніть для активації особистого кабінету. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш рахунок обрано для повернення податку. Щоб отримати кошти, підтвердьте особисті дані онлайн. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Останнє нагадування: сплатіть адміністративний збір для видачі сертифіката переможця. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ми підготували для вас подарунок до свята. Для отримання просто перейдіть за посиланням і заповніть анкету. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш месенджер буде вимкнено за порушення політики. Підтвердьте номер телефону та пароль для відновлення. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Спеціальна пропозиція на ліки та добавки зі знижкою 80 відсотків. Замовте зараз, поки акція активна. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Отримайте великий дохід від автоматичної торгівлі. Запуск системи займає всього 3 хвилини. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Офіційний лист: ваш платіж не пройшов. Щоб уникнути пені, терміново оновіть реквізити. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви виграли цінний приз у розіграші серед користувачів пошти. Заберіть його негайно, поки код активний. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Тільки для вас доступна конфіденційна пропозиція заробітку на міжнародному ринку без ризиків. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Наша система виявила помилку в доставці посилки. Для повторного оформлення сплатіть 39 гривень. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Підтвердіть електронну адресу та пароль, щоб уникнути остаточного блокування корпоративної пошти. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ваш акаунт банкінгу потребує повторної верифікації. Заповніть форму безпеки протягом 10 хвилин. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Станьте учасником закритого розпродажу техніки та отримайте купон на додаткову знижку вже зараз. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ми намагаємося зв’язатися з вами щодо невиплаченого бонусу. Для отримання коштів натисніть тут. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вашу декларацію схвалено. Для зарахування відшкодування введіть номер картки та CVV-код. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вітаємо! Саме ви отримали право на пільговий кредит під 0 відсотків до кінця місяця. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Терміново оновіть пароль до поштової скриньки, інакше всі повідомлення будуть безповоротно видалені. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Вкладення містить терміновий акт звірки. Відкрийте документ і підтвердьте реквізити для оплати. Пропозиція діє обмежений час, не втрачайте шанс."
spam,"Ви отримали доступ до секретної системи пасивного доходу. Почніть без вкладень та ризику. Пропозиція діє обмежений час, не втрачайте шанс."
